2020-07-28 23:55:50.197 [main] INFO  com.takeaway.utilities.TestListeners - ========== Test Suite Started ==========
2020-07-28 23:55:57.411 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - UPDATE request - /list/7052490/items with body - {"items":[{"media_type":"movie","media_id":123,"comment":"great tv show"}]}
2020-07-28 23:55:57.741 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052490/item_status?media_id=123&media_type=movie
2020-07-28 23:55:57.905 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - DELETE request - /list/7052490
2020-07-28 23:55:58.078 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052490?page=1
2020-07-28 23:55:58.265 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.testcases.ListPositiveTestcases - ========= Ended Execution of TestCase: [Test Update items to created list] =========
2020-07-28 23:55:58.273 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.testcases.ListPositiveTestcases - ========= Execution of TestCase: [Test Update list] =========
2020-07-28 23:55:58.274 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - POST request - /list with body - {"name":"NObWO","iso_639_1":"en"}
2020-07-28 23:55:58.443 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - UPDATE request - /list/7052491?page=1 with body - {"description":"new description","name":"new Name"}
2020-07-28 23:55:58.678 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052491?page=1
2020-07-28 23:55:58.864 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - DELETE request - /list/7052491
2020-07-28 23:55:59.072 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.utilities.RestAssuredUtility - GET request - /list/7052491?page=1
2020-07-28 23:55:59.233 [TestNG-test=List CRUD Operations-1] INFO  com.takeaway.testcases.ListPositiveTestcases - ========= Ended Execution of TestCase: [Test Update list] =========
2020-07-28 23:55:59.257 [main] INFO  com.takeaway.utilities.TestListeners - ========== Test Suite Ended ==========
